customerID,tenure,Contract,MonthlyCharges,TotalCharges,InternetService,PaymentMethod,TechSupport,OnlineSecurity,ChurnProbability,RiskLevel,ExpectedRevenueAtRisk,RetentionPriority
1628-BIZYP,1,Month-to-month,85.0,85.0,Fiber optic,Electronic check,No,No,94.928,High Risk,80.68880200386047,Priority 2
4445-ZJNMU,9,Month-to-month,99.3,918.75,Fiber optic,Credit card (automatic),No,No,94.84039,High Risk,871.3461332023144,Priority 1
6910-HADCM,1,Month-to-month,76.35,76.35,Fiber optic,Electronic check,No,No,94.67914,High Risk,72.28752418756484,Priority 2
4415-IJZTP,1,Month-to-month,74.5,74.5,Fiber optic,Electronic check,No,No,94.637764,High Risk,70.50513380765915,Priority 2
5186-SAMNZ,1,Month-to-month,69.5,69.5,Fiber optic,Bank transfer (automatic),No,No,94.62988,High Risk,65.76776921749115,Priority 2
7181-BQYBV,1,Month-to-month,102.45,102.45,Fiber optic,Electronic check,No,Yes,94.60612,High Risk,96.92396931946278,Priority 2
6137-NICCO,6,Month-to-month,94.05,518.75,Fiber optic,Mailed check,No,No,94.51355,High Risk,490.2890272438526,Priority 1
6372-RFVNS,1,Month-to-month,78.8,78.8,Fiber optic,Electronic check,No,No,94.49376,High Risk,74.46108183860778,Priority 2
9804-ICWBG,1,Month-to-month,69.9,69.9,Fiber optic,Electronic check,No,No,94.40382,High Risk,65.98826687335969,Priority 2
5542-TBBWB,1,Month-to-month,69.9,69.9,Fiber optic,Electronic check,No,No,94.40382,High Risk,65.98826687335969,Priority 2
8161-QYMTT,7,Month-to-month,94.1,701.3,Fiber optic,Electronic check,No,No,94.20031,High Risk,660.6267539083957,Priority 1
4927-WWOOZ,2,Month-to-month,91.45,171.45,Fiber optic,Electronic check,No,No,94.19703,High Risk,161.5008060067892,Priority 2
4587-VVTOX,6,Month-to-month,105.3,545.2,Fiber optic,Electronic check,No,No,94.16681,High Risk,513.3974444150925,Priority 1
8622-ZLFKO,6,Month-to-month,90.75,512.25,Fiber optic,Electronic check,No,No,94.149765,High Risk,482.28215785324574,Priority 1
9507-EXLTT,1,Month-to-month,79.35,79.35,Fiber optic,Bank transfer (automatic),No,No,94.133,High Risk,74.694536742568,Priority 2
8884-ADFVN,7,Month-to-month,101.95,700.85,Fiber optic,Electronic check,No,No,93.92171,High Risk,658.2502979516984,Priority 1
3722-WPXTK,1,Month-to-month,88.35,88.35,Fiber optic,Electronic check,No,No,93.850586,High Risk,82.91699520349502,Priority 2
0970-ETWGE,1,Month-to-month,89.55,89.55,Fiber optic,Electronic check,No,No,93.79766,High Risk,83.99580441713333,Priority 2
3707-GNWHM,1,Month-to-month,74.25,74.25,Fiber optic,Mailed check,No,No,93.79406,High Risk,69.64208936691284,Priority 2
8821-XNHVZ,1,Month-to-month,80.05,80.05,Fiber optic,Mailed check,No,No,93.671135,High Risk,74.9837452441454,Priority 2
1853-UDXBW,1,Month-to-month,70.0,70.0,Fiber optic,Electronic check,No,No,93.64648,High Risk,65.55253505706787,Priority 2
6979-ZNSFF,8,Month-to-month,87.05,762.1,Fiber optic,Electronic check,No,No,93.60254,High Risk,713.3449429273605,Priority 1
7817-BOQPW,2,Month-to-month,75.55,166.3,Fiber optic,Electronic check,No,No,93.4223,High Risk,155.36128427386285,Priority 2
2865-TCHJW,4,Month-to-month,89.2,346.2,Fiber optic,Electronic check,No,No,93.217545,High Risk,322.7191433787346,Priority 1
0841-NULXI,1,Month-to-month,35.55,35.55,DSL,Electronic check,No,No,93.047066,High Risk,33.078231444954866,Priority 2
8593-WHYHV,3,Month-to-month,85.3,264.8,Fiber optic,Electronic check,No,No,93.03898,High Risk,246.36720895767212,Priority 1
1448-PWKYE,1,Month-to-month,80.0,80.0,Fiber optic,Electronic check,No,No,92.99129,High Risk,74.39302921295166,Priority 2
4713-LZDRV,2,Month-to-month,79.6,195.05,Fiber optic,Electronic check,No,No,92.97272,High Risk,181.34328971505167,Priority 2
8775-ERLNB,1,Month-to-month,74.3,74.3,Fiber optic,Electronic check,No,No,92.851326,High Risk,68.9885373353958,Priority 2
6630-UJZMY,4,Month-to-month,83.25,308.05,Fiber optic,Electronic check,No,No,92.74612,High Risk,285.7044064283371,Priority 1
1731-TVIUK,4,Month-to-month,93.5,362.2,Fiber optic,Electronic check,Yes,No,92.71864,High Risk,335.82692476511,Priority 1
2754-SDJRD,8,Month-to-month,100.15,908.55,Fiber optic,Credit card (automatic),Yes,No,92.66032,High Risk,841.8652814358472,Priority 1
3422-LYEPQ,1,Month-to-month,71.0,71.0,Fiber optic,Electronic check,No,No,92.43631,High Risk,65.629778444767,Priority 2
6969-MVBAI,9,Month-to-month,90.1,816.8,Fiber optic,Electronic check,No,No,92.4039,High Risk,754.7550602912902,Priority 1
2867-UIMSS,1,Month-to-month,80.5,80.5,Fiber optic,Electronic check,No,No,92.19571,High Risk,74.21754458546638,Priority 2
5698-BQJOH,9,Month-to-month,94.4,857.25,Fiber optic,Electronic check,No,No,92.13839,High Risk,789.856363132596,Priority 1
1768-ZAIFU,1,Month-to-month,25.2,25.2,DSL,Electronic check,No,No,91.93465,High Risk,23.167530584335328,Priority 2
0390-DCFDQ,1,Month-to-month,70.45,70.45,Fiber optic,Mailed check,No,No,91.91817,High Risk,64.75634688436985,Priority 2
7273-TEFQD,3,Month-to-month,41.15,132.2,DSL,Electronic check,No,No,91.84538,High Risk,121.41959402561187,Priority 2
3519-ZKXGG,3,Month-to-month,75.85,256.6,Fiber optic,Electronic check,No,No,91.69497,High Risk,235.2892902970314,Priority 1
7409-KIUTL,1,Month-to-month,71.0,71.0,Fiber optic,Electronic check,No,No,91.530495,High Risk,64.98665207624435,Priority 2
8380-PEFPE,1,Month-to-month,71.65,71.65,Fiber optic,Electronic check,No,No,91.504,High Risk,65.56261288821698,Priority 2
3585-ISXZP,8,Month-to-month,95.65,778.1,Fiber optic,Bank transfer (automatic),No,No,91.36764,High Risk,710.931592142582,Priority 1
1980-KXVPM,3,Month-to-month,75.05,256.25,Fiber optic,Credit card (automatic),No,No,91.36342,High Risk,234.11875888705254,Priority 1
4229-CZMLL,6,Month-to-month,74.9,469.8,Fiber optic,Electronic check,No,No,91.35318,High Risk,429.1772303581238,Priority 1
3677-IYRBF,2,Month-to-month,30.4,78.65,DSL,Electronic check,No,No,90.816864,High Risk,71.4274614840746,Priority 2
7005-CCBKV,6,Month-to-month,84.4,556.35,Fiber optic,Electronic check,No,No,90.76063,High Risk,504.9467670589686,Priority 1
8258-GSTJK,3,Month-to-month,77.0,237.75,Fiber optic,Electronic check,No,No,90.43943,High Risk,215.0197516232729,Priority 1
9878-TNQGW,2,Month-to-month,80.95,171.15,Fiber optic,Electronic check,No,No,90.39177,High Risk,154.70550926327707,Priority 2
5376-DEQCP,1,Month-to-month,70.6,70.6,Fiber optic,Electronic check,No,No,90.33613,High Risk,63.77730501890182,Priority 2
4317-VTEOA,1,Month-to-month,50.75,50.75,DSL,Electronic check,No,No,90.32439,High Risk,45.839624866843224,Priority 2
2485-ITVKB,2,Month-to-month,35.1,68.75,DSL,Electronic check,No,No,90.180984,High Risk,61.999428644776344,Priority 2
0235-KGSLC,1,Month-to-month,85.55,85.55,Fiber optic,Credit card (automatic),No,No,90.14387,High Risk,77.11807680428028,Priority 2
0876-WDUUZ,5,Month-to-month,85.4,425.9,Fiber optic,Credit card (automatic),Yes,No,90.03012,High Risk,383.43828876018523,Priority 1
6608-QQLVK,1,Month-to-month,50.5,50.5,DSL,Electronic check,No,No,89.8488,High Risk,45.3736432492733,Priority 2
6328-ZPBGN,11,Month-to-month,95.15,997.65,Fiber optic,Bank transfer (automatic),No,No,89.84589,High Risk,896.3474601924419,Priority 1
2034-GDRCN,2,Month-to-month,90.4,168.2,Fiber optic,Electronic check,No,No,89.76004,High Risk,150.97638936042785,Priority 2
5159-YFPKQ,2,Month-to-month,75.8,160.75,Fiber optic,Electronic check,No,No,89.56225,High Risk,143.97131556272507,Priority 2
0871-URUWO,13,Month-to-month,102.25,1359.0,Fiber optic,Credit card (automatic),No,No,89.51012,High Risk,1216.4425166845322,Priority 1
7056-IMHCC,53,Month-to-month,101.9,5549.4,Fiber optic,Electronic check,No,No,89.40642,High Risk,4961.519804906845,Priority 1
3244-DCJWY,1,Month-to-month,70.25,70.25,Fiber optic,Electronic check,No,No,89.35017,High Risk,62.76849016547203,Priority 2
8361-LTMKD,4,Month-to-month,74.4,306.6,Fiber optic,Mailed check,No,No,89.341675,High Risk,273.9215793371201,Priority 1
8245-UMPYT,16,Month-to-month,96.4,1581.2,Fiber optic,Electronic check,No,No,89.33212,High Risk,1412.5195069074632,Priority 1
7209-JCUDS,10,Month-to-month,94.9,1048.85,Fiber optic,Electronic check,No,No,89.22766,High Risk,935.8642962843179,Priority 1
8132-YPVBX,6,Month-to-month,85.95,514.6,Fiber optic,Mailed check,No,No,89.08001,High Risk,458.4057409524918,Priority 1
9741-YLNTD,6,Month-to-month,87.95,522.35,Fiber optic,Bank transfer (automatic),Yes,No,88.86633,High Risk,464.19330167472367,Priority 1
3338-CVVEH,12,Month-to-month,94.55,1173.55,Fiber optic,Electronic check,No,No,88.85725,High Risk,1042.7842039227485,Priority 1
4090-KPJIP,3,Month-to-month,74.95,212.4,Fiber optic,Electronic check,No,No,88.7586,High Risk,188.52326588630677,Priority 2
4735-ASGMA,26,Month-to-month,98.35,2515.3,Fiber optic,Electronic check,No,No,88.64945,High Risk,2229.7996594309807,Priority 1
0952-KMEEH,13,Month-to-month,98.15,1230.25,Fiber optic,Mailed check,No,Yes,88.423035,High Risk,1087.8244192004204,Priority 1
6892-XPFPU,24,Month-to-month,104.25,2433.9,Fiber optic,Electronic check,No,No,88.277374,High Risk,2148.583047115803,Priority 1
7249-WBIYX,10,Month-to-month,85.6,813.85,Fiber optic,Electronic check,No,No,88.19403,High Risk,717.7671174138785,Priority 1
7181-OQCUT,21,Month-to-month,103.85,2215.0,Fiber optic,Mailed check,No,Yes,88.14219,High Risk,1952.349428832531,Priority 1
2737-YNGYW,2,Month-to-month,80.55,184.1,Fiber optic,Electronic check,No,No,88.032135,High Risk,162.06715572476386,Priority 2
5052-PNLOS,3,Month-to-month,105.35,323.25,Fiber optic,Bank transfer (automatic),No,No,87.97721,High Risk,284.3863399475813,Priority 1
7363-QTBIW,9,Month-to-month,79.75,769.1,Fiber optic,Electronic check,No,No,87.91666,High Risk,676.16698859334,Priority 1
7235-NXZCP,2,Month-to-month,74.85,156.4,Fiber optic,Mailed check,No,No,87.86467,High Risk,137.4203394651413,Priority 2
1320-HTRDR,3,Month-to-month,75.5,220.6,Fiber optic,Electronic check,No,No,87.79724,High Risk,193.68071674108504,Priority 2
8443-ZRDBZ,4,Month-to-month,76.05,318.9,Fiber optic,Electronic check,No,No,87.78931,High Risk,279.96010648012157,Priority 1
3877-JRJIP,1,Month-to-month,59.85,59.85,DSL,Electronic check,No,No,87.72574,High Risk,52.50385579168797,Priority 2
6338-AVWCY,3,Month-to-month,40.15,130.75,DSL,Mailed check,No,No,87.55874,High Risk,114.48305304348469,Priority 2
4686-UXDML,21,Month-to-month,99.85,1992.55,Fiber optic,Credit card (automatic),No,No,87.35894,High Risk,1740.6705519497393,Priority 1
9940-RHLFB,1,Month-to-month,75.3,75.3,Fiber optic,Electronic check,No,No,87.283585,High Risk,65.72454135417938,Priority 2
5382-SOYZL,22,Month-to-month,95.1,2162.6,Fiber optic,Electronic check,No,No,87.25742,High Risk,1887.0289869070052,Priority 1
8280-MQRQN,1,Month-to-month,50.45,50.45,DSL,Mailed check,No,No,87.18198,High Risk,43.98330560922623,Priority 2
2919-HBCJO,4,Month-to-month,76.65,333.6,Fiber optic,Bank transfer (automatic),No,No,87.16353,High Risk,290.7775221347809,Priority 1
1400-MMYXY,3,Month-to-month,105.9,334.65,Fiber optic,Electronic check,No,No,87.13439,High Risk,291.59523971378803,Priority 1
7495-OOKFY,8,Month-to-month,80.65,633.3,Fiber optic,Credit card (automatic),No,No,87.10574,High Risk,551.6406835734844,Priority 1
3320-VEOYC,14,Month-to-month,95.6,1273.3,Fiber optic,Electronic check,No,No,87.09544,High Risk,1108.986306208372,Priority 1
8080-DDEMJ,1,Month-to-month,45.1,45.1,DSL,Electronic check,No,No,87.028336,High Risk,39.24977977275849,Priority 2
4706-DGAHW,1,Month-to-month,45.2,45.2,DSL,Electronic check,No,No,87.028336,High Risk,39.33680810928345,Priority 2
2985-FMWYF,23,Month-to-month,93.5,2341.55,Fiber optic,Electronic check,No,No,86.94853,High Risk,2035.9433479100467,Priority 1
0616-ATFGB,1,Month-to-month,25.05,25.05,DSL,Electronic check,No,No,86.94847,High Risk,21.780592301487925,Priority 2
8397-MVTAZ,34,Month-to-month,100.05,3480.0,Fiber optic,Electronic check,No,No,86.904076,High Risk,3024.2617321014404,Priority 1
0988-JRWWP,3,Month-to-month,54.2,140.4,DSL,Electronic check,No,No,86.42148,High Risk,121.3357548236847,Priority 2
1379-FRVEB,15,Month-to-month,91.0,1430.05,Fiber optic,Electronic check,No,No,86.39313,High Risk,1235.464953070879,Priority 1
2386-LAHRK,1,Month-to-month,53.5,53.5,DSL,Mailed check,No,No,86.28506,High Risk,46.16250425577164,Priority 2
4706-AXVKM,11,Month-to-month,84.8,906.85,Fiber optic,Credit card (automatic),No,No,86.15441,High Risk,781.2912963151932,Priority 1
4919-IKATY,5,Month-to-month,84.5,453.75,Fiber optic,Electronic check,No,Yes,85.89059,High Risk,389.72853027284145,Priority 1
9907-SWKKF,1,Month-to-month,25.05,25.05,DSL,Mailed check,No,No,85.84841,High Risk,21.505026438832285,Priority 2
5419-CONWX,4,Month-to-month,99.8,442.85,Fiber optic,Credit card (automatic),No,No,85.70239,High Risk,379.5330582022667,Priority 1
5501-TVMGM,1,Month-to-month,55.25,55.25,DSL,Electronic check,No,No,85.60228,High Risk,47.295258328318596,Priority 2
8266-VBFQL,4,Month-to-month,90.4,356.65,Fiber optic,Electronic check,Yes,No,85.5705,High Risk,305.18719638586043,Priority 1
3292-PBZEJ,11,Month-to-month,111.4,1183.05,Fiber optic,Electronic check,Yes,No,85.464775,High Risk,1011.091027289629,Priority 1
1751-NCDLI,46,Month-to-month,98.85,4564.9,Fiber optic,Electronic check,No,No,85.32211,High Risk,3894.869083613157,Priority 1
3908-BLSYF,6,Month-to-month,83.9,497.55,Fiber optic,Electronic check,No,No,85.26249,High Risk,424.22351560592654,Priority 1
6048-QBXKL,2,Month-to-month,56.55,118.25,DSL,Credit card (automatic),No,No,85.22438,High Risk,100.7778271138668,Priority 2
8699-ASUFO,7,Month-to-month,74.4,527.9,Fiber optic,Mailed check,No,No,85.212555,High Risk,449.83706489801403,Priority 1
4237-RLAQD,1,Month-to-month,45.85,45.85,DSL,Mailed check,No,No,85.16684,High Risk,39.048996940255165,Priority 2
5133-POWUA,1,Month-to-month,45.8,45.8,DSL,Mailed check,No,No,85.16684,High Risk,39.00641351938248,Priority 2
8212-DJRCH,5,Month-to-month,90.35,434.5,Fiber optic,Mailed check,No,Yes,85.1325,High Risk,369.9007018506527,Priority 1
9747-DDZOS,1,Month-to-month,73.5,73.5,Fiber optic,Bank transfer (automatic),No,No,85.00499,High Risk,62.478668600320816,Priority 2
4806-KEXQR,4,Month-to-month,79.9,324.3,Fiber optic,Electronic check,No,No,84.891396,High Risk,275.30279969573024,Priority 1
3721-CNEYS,2,Month-to-month,70.95,137.95,Fiber optic,Electronic check,No,No,84.89047,High Risk,117.10640735030174,Priority 2
2025-JKFWI,13,Month-to-month,99.0,1301.7,Fiber optic,Mailed check,Yes,No,84.69833,High Risk,1102.5181792616845,Priority 1
8903-XEBGX,2,Month-to-month,55.3,108.65,DSL,Electronic check,No,No,84.650536,High Risk,91.97280561625958,Priority 2
2761-OCIAX,2,Month-to-month,74.7,165.4,Fiber optic,Electronic check,No,No,84.63751,High Risk,139.99044282436373,Priority 2
8541-QVFKM,8,Month-to-month,73.5,632.2,Fiber optic,Electronic check,No,No,84.52732,High Risk,534.3817149519921,Priority 1
7218-HKQFK,2,Month-to-month,94.2,167.5,Fiber optic,Electronic check,Yes,No,84.430046,High Risk,141.42032518982887,Priority 2
1240-KNSEZ,1,Month-to-month,20.1,20.1,No,Mailed check,No internet service,No internet service,84.36102,High Risk,16.956565564870836,Priority 2
6175-IRFIT,5,Month-to-month,78.75,426.35,Fiber optic,Mailed check,No,No,84.334984,High Risk,359.5621933758259,Priority 1
5692-FPTAH,1,Month-to-month,45.4,45.4,DSL,Mailed check,No,No,84.322136,High Risk,38.28225003480911,Priority 2
8818-DOPVL,46,Month-to-month,104.45,4863.85,Fiber optic,Electronic check,No,No,84.264656,High Risk,4098.506369742751,Priority 1
8752-STIVR,4,Month-to-month,79.0,303.15,Fiber optic,Electronic check,No,No,84.13586,High Risk,255.05784214138984,Priority 1
8083-YTZES,4,Month-to-month,74.35,265.35,Fiber optic,Electronic check,No,No,84.11886,High Risk,223.20939755737783,Priority 1
1024-GUALD,1,Month-to-month,24.8,24.8,DSL,Electronic check,No,No,84.05815,High Risk,20.84642210006714,Priority 2
9420-LOJKX,15,Month-to-month,99.1,1426.4,Fiber optic,Credit card (automatic),No,Yes,83.75128,High Risk,1194.628245306015,Priority 1
2665-NPTGL,26,Month-to-month,98.1,2510.7,Fiber optic,Bank transfer (automatic),No,No,83.73615,High Risk,2102.3635546267033,Priority 1
7912-SYRQT,7,Month-to-month,75.1,552.95,Fiber optic,Bank transfer (automatic),No,No,83.71082,High Risk,462.87900928854947,Priority 1
2077-MPJQO,7,Month-to-month,75.4,533.05,Fiber optic,Electronic check,No,No,83.633224,High Risk,445.80691202580925,Priority 1
5357-TZHPP,9,Month-to-month,84.4,732.5,Fiber optic,Credit card (automatic),No,No,83.606575,High Risk,612.4181759357452,Priority 1
9334-GWGOW,7,Month-to-month,74.85,485.25,Fiber optic,Electronic check,No,No,83.57905,High Risk,405.5673184543848,Priority 1
3672-YITQD,36,Month-to-month,84.1,3021.6,Fiber optic,Electronic check,No,No,83.566414,High Risk,2525.0428050041196,Priority 1
6651-AZVTJ,49,Month-to-month,99.8,4872.45,Fiber optic,Electronic check,No,No,83.55148,High Risk,4071.0042990356683,Priority 1
2439-LYPMQ,38,Month-to-month,102.6,4009.2,Fiber optic,Electronic check,No,No,83.46727,High Risk,3346.369746494293,Priority 1
4631-OACRM,15,Month-to-month,79.4,1156.1,Fiber optic,Electronic check,No,No,83.32513,High Risk,963.3217561006545,Priority 1
3063-QFSZL,1,Month-to-month,55.4,55.4,DSL,Electronic check,No,No,83.15782,High Risk,46.069432008266446,Priority 2
9685-WKZGT,14,Month-to-month,74.95,1036.75,Fiber optic,Electronic check,No,No,83.13513,High Risk,861.9035015553236,Priority 1
3199-XGZCY,8,Month-to-month,75.25,576.7,Fiber optic,Electronic check,No,No,83.01684,High Risk,478.75809692144395,Priority 1
6821-BUXUX,13,Month-to-month,96.65,1244.5,Fiber optic,Electronic check,No,Yes,83.01543,High Risk,1033.1269518435001,Priority 1
6856-RAURS,2,Month-to-month,74.9,136.05,Fiber optic,Mailed check,No,No,82.92876,High Risk,112.82457642853261,Priority 2
2959-MJHIC,4,Month-to-month,80.35,307.4,Fiber optic,Electronic check,No,No,82.87627,High Risk,254.76163876056668,Priority 1
2187-PKZAY,12,Month-to-month,79.95,1043.4,Fiber optic,Bank transfer (automatic),No,No,82.79721,High Risk,863.9061038374901,Priority 1
0979-PHULV,69,Month-to-month,99.45,7007.6,Fiber optic,Credit card (automatic),No,No,82.778046,High Risk,5800.754527759553,Priority 1
9643-AVVWI,3,Month-to-month,80.0,241.3,Fiber optic,Electronic check,Yes,No,82.71847,High Risk,199.59966259002687,Priority 2
2720-FVBQP,6,Month-to-month,48.95,273.25,DSL,Credit card (automatic),No,No,82.57251,High Risk,225.62937772274017,Priority 1
9851-KIELU,10,Month-to-month,110.1,1043.3,Fiber optic,Electronic check,Yes,Yes,82.39001,High Risk,859.5749158680438,Priority 1
3030-YDNRM,8,Month-to-month,74.85,572.45,Fiber optic,Electronic check,No,No,82.210556,High Risk,470.61434300839903,Priority 1
6023-YEBUP,3,Month-to-month,100.95,329.95,Fiber optic,Electronic check,No,No,82.163055,High Risk,271.0969958513975,Priority 1
3750-CKVKH,2,Month-to-month,67.75,116.65,Fiber optic,Electronic check,No,No,82.106186,High Risk,95.77686475515367,Priority 2
2027-FECZV,12,Month-to-month,106.7,1253.9,Fiber optic,Electronic check,No,No,82.05316,High Risk,1028.8645816087724,Priority 1
6661-HBGWL,42,Month-to-month,104.75,4323.45,Fiber optic,Bank transfer (automatic),No,No,82.03218,High Risk,3546.6202789664267,Priority 1
9752-ZNQUT,1,Month-to-month,48.6,48.6,DSL,Electronic check,No,No,82.02678,High Risk,39.86501491069794,Priority 2
8709-KRDVL,33,Month-to-month,100.0,3320.6,Fiber optic,Electronic check,No,No,81.89633,High Risk,2719.449498319626,Priority 1
6899-PPEEA,37,Month-to-month,96.55,3580.3,Fiber optic,Electronic check,No,No,81.63665,High Risk,2922.8369574010376,Priority 1
1658-TJVOA,6,Month-to-month,74.1,450.9,Fiber optic,Electronic check,No,Yes,81.60759,High Risk,367.9686328053474,Priority 1
0524-IAVZO,30,Month-to-month,85.0,2624.25,Fiber optic,Electronic check,No,No,81.433716,High Risk,2137.024224847555,Priority 1
2495-INZWQ,4,Month-to-month,44.55,174.3,DSL,Electronic check,No,No,81.31268,High Risk,141.72800166606905,Priority 2
7250-EQKIY,1,Month-to-month,50.45,50.45,DSL,Mailed check,No,No,81.23039,High Risk,40.98073179125786,Priority 2
8938-UMKPI,47,Month-to-month,106.4,5127.95,Fiber optic,Electronic check,No,No,81.1909,High Risk,4163.428858837485,Priority 1
6128-AQBMT,41,Month-to-month,53.95,2215.4,DSL,Electronic check,No,No,81.146805,High Risk,1797.726350724697,Priority 1
2845-HSJCY,14,Month-to-month,87.25,1258.6,Fiber optic,Electronic check,No,No,81.04528,High Risk,1020.0359178304672,Priority 1
1867-BDVFH,11,Month-to-month,74.35,834.2,Fiber optic,Electronic check,No,No,81.03367,High Risk,675.9828826665879,Priority 1
2800-QQUSO,42,Month-to-month,100.3,4222.95,Fiber optic,Electronic check,Yes,No,81.02708,High Risk,3421.7330169439315,Priority 1
3891-PUQOD,1,Month-to-month,59.2,59.2,DSL,Electronic check,No,No,80.95605,High Risk,47.92598028182984,Priority 2
1112-CUNAO,15,Month-to-month,89.85,1424.95,Fiber optic,Electronic check,No,No,80.86193,High Risk,1152.2421005934477,Priority 1
9717-QEBGU,2,Month-to-month,70.3,144.0,Fiber optic,Electronic check,No,No,80.80285,High Risk,116.35609817504883,Priority 2
3312-ZWLGF,29,Month-to-month,79.3,2414.55,Fiber optic,Electronic check,Yes,No,80.79357,High Risk,1950.8011799812318,Priority 1
6377-WHAOX,60,Month-to-month,106.15,6411.25,Fiber optic,Electronic check,No,No,80.50702,High Risk,5161.506074965,Priority 1
5480-HPRRX,3,Month-to-month,25.3,77.75,DSL,Electronic check,No,No,80.453316,High Risk,62.5524550229311,Priority 2
8873-GLDMH,6,Month-to-month,73.85,401.3,Fiber optic,Mailed check,No,No,80.35492,High Risk,322.4642821192742,Priority 1
1587-FKLZB,66,Month-to-month,99.5,6822.15,Fiber optic,Credit card (automatic),No,No,80.32659,High Risk,5480.000659042596,Priority 1
7881-EVUAD,2,Month-to-month,42.6,72.4,DSL,Electronic check,No,Yes,80.25807,High Risk,58.106843709945686,Priority 2
6047-YHPVI,5,Month-to-month,69.7,316.9,Fiber optic,Electronic check,No,No,79.99144,High Risk,253.49287958741186,Priority 1
1833-TCXKK,45,Month-to-month,107.75,4882.8,Fiber optic,Bank transfer (automatic),No,No,79.95239,High Risk,3903.9155412197115,Priority 1
8739-WWKDU,25,Month-to-month,89.5,2196.15,Fiber optic,Electronic check,No,No,79.94841,High Risk,1755.7869493693115,Priority 1
9279-CJEOJ,21,Month-to-month,95.4,2025.1,Fiber optic,Bank transfer (automatic),No,No,79.928116,High Risk,1618.6243174254894,Priority 1
9465-RWMXL,32,Month-to-month,78.9,2447.95,Fiber optic,Electronic check,No,No,79.9207,High Risk,1956.4187074065208,Priority 1
